DATE,PX_LAST,VOLUME,OPEN_INTEREST
2020-11-04,14199.29,9531.0,8591.0
2020-11-05,15259.24,7463.0,8937.0
2020-11-06,15629.22,8143.0,8722.0
2020-11-09,15449.23,12353.0,7901.0
2020-11-10,15354.24,5971.0,7721.0
2020-11-11,15804.21,6198.0,7975.0
2020-11-12,16239.19,6412.0,7781.0
2020-11-13,16269.19,4062.0,7442.0
2020-11-16,16894.16,5400.0,7626.0
2020-11-17,17729.12,9408.0,7244.0
2020-11-18,17684.12,12925.0,6166.0
2020-11-19,18094.1,6743.0,6047.0
2020-11-20,18684.07,9867.0,5800.0
2020-11-23,18409.08,12524.0,5167.0
2020-11-24,19109.05,14152.0,3899.0
2020-11-25,18914.06,12217.0,2361.0
2020-11-27,16626.7,7857.0,1176.0
2020-11-30,19382.27,12034.0,8766.0
2020-12-01,18935.29,13563.0,8719.0
2020-12-02,18954.93,7994.0,8610.0
2020-12-03,19220.17,7203.0,8542.0
2020-12-04,18763.37,7567.0,8415.0
2020-12-07,18832.14,5213.0,8541.0
2020-12-08,18493.22,7325.0,8330.0
2020-12-09,18095.35,6752.0,7596.0
2020-12-10,18115.0,6953.0,7215.0
2020-12-11,17702.4,6058.0,6946.0
2020-12-14,18930.37,6124.0,7153.0
2020-12-15,19215.26,5817.0,7259.0
2020-12-16,20561.12,12919.0,6665.0
2020-12-17,22466.92,16832.0,6250.0
2020-12-18,22457.1,7105.0,6178.0
2020-12-21,22476.75,12956.0,5068.0
2020-12-22,23031.79,11075.0,3001.0
2020-12-23,23095.65,6882.0,1819.0
2020-12-24,22787.9,979.0,1662.0
2020-12-28,26083.17,17470.0,7837.0
2020-12-29,26179.38,7633.0,7752.0
2020-12-30,28050.71,13789.0,8017.0
2020-12-31,28272.0,5529.0,7775.0
2021-01-04,30355.0,14997.0,8098.0
2021-01-05,33207.69,8153.0,8231.0
2021-01-06,35180.05,19469.0,8072.0
2021-01-07,38124.15,16834.0,8035.0
